"ID","Crop","lat","long","YieldM","Year"
30305,"Corn",41.34,-90.85,206.37,2014
30307,"Corn",40.52,-86.95,238.2,2014
30308,"Corn",41,-87.96,235.2,2014
30309,"Corn",41,-87.96,232.43,2014
30311,"Corn",40.53,-84.11,232.8,2014
30312,"Soybean",39.63,-85.69,71.84,2014
30313,"Corn",40.76,-90.63,219.8,2014
30314,"Corn",38.15,-87.73,242.8,2014
30316,"Soybean",37.71,-87.34,54.21,2014
30318,"Corn",38.51,-87.55,190.2,2014
30321,"Soybean",42.05,-85.29,62.69,2014
30324,"Corn",39.28,-85.81,216.47,2014
30325,"Soybean",39.45,-85.7,59.97,2014
30326,"Corn",38.9,-85.86,176.9,2014
30327,"Soybean",38.9,-85.86,74.06,2014
30328,"Corn",39.45,-85.7,279,2014
30330,"Soybean",39.33,-85.34,57.66,2014
30332,"Corn",39.41,-85.48,271.17,2014
30333,"Corn",39.36,-85.17,245.02,2014
30334,"Corn",39.33,-85.47,258.18,2014
30335,"Corn",41.33,-86.63,189.67,2014
30336,"Corn",41.33,-86.63,173.94,2014
30337,"Soybean",41.33,-86.63,59.44,2014
30338,"Corn",41.41,-86.21,223.49,2014
30339,"Corn",41.32,-86.14,230.65,2014
30340,"Soybean",40.79,-89.34,66.69,2014
30347,"Soybean",41.86,-88.79,68.78,2014
30348,"Soybean",41.64,-88.68,61.23,2014
30354,"Corn",40.39,-83.22,167.69,2014
30360,"Corn",40.42,-84.32,235.7,2014
30361,"Soybean",41.57,-86.01,62.98,2014
30369,"Soybean",40.84,-89.42,61.8,2014
30372,"Corn",36.7,-85.15,236.22,2014
30380,"Soybean",41.12,-84.7,67.99,2014
30381,"Soybean",40.18,-86.67,50.79,2014
30382,"Soybean",40.19,-86.85,68.31,2014
30383,"Corn",40.13,-86.54,197.81,2014
30384,"Soybean",40.13,-86.54,75.56,2014
30385,"Corn",38.14,-85.95,184,2014
30396,"Soybean",40.47,-89.61,60.98,2014
30400,"Corn",41.41,-87.07,220.16,2014
30402,"Soybean",41.43,-87.07,56.87,2014
30403,"Soybean",39.92,-85.14,65.16,2014
30405,"Soybean",39.7,-87.21,42.13,2014
30407,"Soybean",40.15,-89.37,57.81,2014
30412,"Corn",37.75,-87.15,272.52,2014
30414,"Soybean",40.88,-88.89,61.13,2014
30415,"Corn",40.92,-89.75,209.55,2014
30416,"Corn",37.95,-86.77,180.21,2014
30417,"Soybean",40.84,-84.34,72.66,2014
30418,"Corn",41.45,-90.95,229.12,2014
30419,"Corn",37.99,-86.29,244.77,2014
30420,"Soybean",40.13,-86.21,65.59,2014
30421,"Corn",38.22,-86.01,238.65,2014
30428,"Corn",40.21,-84.79,147.45,2014
30430,"Soybean",39.8,-85.02,62.02,2014
30431,"Corn",41.01,-88.56,191.84,2014
30432,"Corn",41.31,-90.5,203.96,2014
30435,"Soybean",41.11,-87.12,53.64,2014
30437,"Soybean",40.75,-87.03,57.39,2014
30441,"Corn",39.05,-88.68,218.57,2014
30442,"Soybean",38.97,-88.15,65.33,2014
30443,"Soybean",39.03,-88.34,68.83,2014
30444,"Corn",40.67,-84.94,201.94,2014
30445,"Soybean",40.67,-84.94,60.19,2014
30446,"Soybean",41.32,-86.14,68.72,2014
30448,"Soybean",41.67,-86.65,58.21,2014
30449,"Corn",39.16,-88.5,220.83,2014
30452,"Corn",40.8,-91.64,240.45,2014
30453,"Corn",40.97,-91.56,208.46,2014
30456,"Soybean",37.01,-86.45,71.19,2014
30457,"Soybean",37.17,-86.57,72.5,2014
30458,"Corn",39.71,-87.73,248.68,2014
30462,"Soybean",38.27,-87.63,70.4,2014
30464,"Soybean",38.06,-87.23,69.3,2014
30465,"Soybean",38.01,-87.86,83.1,2014
30466,"Soybean",36.7,-85.15,41.12,2014
30469,"Corn",40.14,-85.84,214.92,2014
30470,"Corn",37.75,-87.15,156.94,2014
30471,"Corn",42.03,-85,152.5,2014
30472,"Corn",42.03,-85,194.8,2014
30476,"Soybean",42.07,-84.97,48.34,2014
30477,"Soybean",38.38,-88.96,56.96,2014
30480,"Corn",40.08,-84.3,206.4,2014
30481,"Soybean",39.83,-89.39,60.59,2014
30482,"Soybean",39.38,-89.52,61.23,2014
30483,"Soybean",39.55,-89.3,61.66,2014
30484,"Soybean",39.29,-89.49,54.43,2014
30487,"Corn",39.08,-89.58,179.84,2014
30488,"Corn",39.13,-89.86,179.86,2014
30489,"Corn",39.85,-89.39,204.8,2014
30491,"Corn",39.55,-89.3,217.97,2014
30492,"Corn",39.38,-89.52,230.68,2014
30502,"Soybean",37.51,-86.25,46.23,2014
30504,"Soybean",37.27,-85.88,58.38,2014
30505,"Soybean",40.77,-88.42,83.86,2014
30506,"Soybean",41.21,-88.85,64.6,2014
30507,"Soybean",40.88,-88.72,55.4,2014
30509,"Corn",40.05,-84.93,195.04,2014
30510,"Soybean",40.05,-84.93,58.01,2014
30511,"Soybean",40.38,-84.72,56.44,2014
30512,"Corn",39.61,-85.58,223.09,2014
30513,"Corn",39.76,-85.43,220.11,2014
30515,"Corn",39.12,-88.56,179.82,2014
30516,"Corn",39.74,-85.44,195.12,2014
30522,"Corn",39.33,-85.47,180.46,2014
30523,"Soybean",39.33,-85.47,66.26,2014
30526,"Soybean",41.83,-83.91,40.86,2014
30527,"Corn",41.83,-83.91,190.3,2014
30528,"Soybean",41.83,-83.91,61.05,2014
30530,"Corn",38.93,-83.66,198,2014
30533,"Soybean",39.13,-88.14,60.59,2014
30534,"Soybean",39,-83.8,57.69,2014
30535,"Soybean",38.95,-83.63,49.12,2014
30536,"Soybean",38.88,-83.72,61.97,2014
30537,"Corn",38.86,-83.76,204.8,2014
30538,"Corn",39.15,-84,208.87,2014
30541,"Soybean",39.43,-87.74,61.04,2014
30543,"Soybean",38.65,-87.17,56.09,2014
30545,"Corn",38.74,-88.75,189.31,2014
30546,"Corn",39.29,-87.61,200.64,2014
30548,"Soybean",40.81,-91.64,61.93,2014
30550,"Soybean",40.88,-91.12,61.1,2014
30551,"Soybean",39.59,-84.37,63.21,2014
30552,"Soybean",39.62,-85.47,65.37,2014
30553,"Soybean",39.74,-85.44,66.37,2014
30555,"Corn",42.52,-84.93,226.85,2014
30556,"Soybean",42.57,-84.84,43.56,2014
30557,"Soybean",37.29,-86.78,61.92,2014
30559,"Corn",40.49,-84.15,168.21,2014
30575,"Soybean",37.19,-84.68,49.84,2014
30576,"Soybean",39.28,-85.81,61.32,2014
30578,"Corn",40.18,-85.5,187.5,2014
30583,"Corn",39.03,-88.34,225.52,2014
30585,"Soybean",39.05,-88.68,53.92,2014
30587,"Corn",40.66,-83.16,203.14,2014
30588,"Soybean",40.66,-83.16,63.47,2014
30592,"Soybean",40.88,-88.61,69.91,2014
30593,"Soybean",40.34,-83.1,67.43,2014
30594,"Corn",40.96,-88.98,177.58,2014
30596,"Soybean",37.73,-86.95,58.5,2014
30597,"Soybean",37.75,-87.15,63.8,2014
30599,"Soybean",38.87,-87.08,56.06,2014
30600,"Soybean",38.02,-86.79,57.61,2014
30601,"Soybean",40.91,-88.69,68.87,2014
30602,"Soybean",40.92,-88.7,73.27,2014
30603,"Corn",37.75,-89.2,194.69,2014
30607,"Corn",40.78,-87.45,200.83,2014
30608,"Corn",40.67,-87.31,204.84,2014
30612,"Corn",41,-85.51,195.2,2014
30613,"Soybean",41,-85.51,74.42,2014
30623,"Soybean",40.16,-83.9,63.33,2014
30650,"Soybean",40.39,-83.22,42.53,2014
30651,"Corn",41.29,-86.28,198.2,2014
30652,"Corn",40.61,-87.32,193.22,2014
30660,"Corn",36.7,-87.62,163.27,2014
30661,"Corn",38.21,-87.55,207.42,2014
30666,"Corn",35.26,-87.35,210.79,2014
30668,"Soybean",35.26,-87.35,47.88,2014
30670,"Corn",40.86,-89.95,239.43,2014
30675,"Corn",38.14,-87.67,213.03,2014
30680,"Wheat",40.96,-83.93,93.23,2015
30681,"Corn",37.82,-89.9,239.89,2014
30686,"Corn",36.82,-87.45,160.39,2014
30696,"Corn",38.96,-83.58,196.8,2014
30703,"Corn",40.19,-85.04,195.12,2014
30707,"Corn",39.8,-85.9,186.9,2014
30717,"Soybean",41.97,-89.88,69.56,2014
30720,"Corn",39.1,-88.56,193.98,2014
30721,"Corn",39.1,-88.56,198.38,2014
30722,"Corn",41.03,-84.68,236.58,2014
30728,"Corn",40.68,-89.81,238,2014
30729,"Corn",41.18,-89.65,234.83,2014
30735,"Corn",40.65,-89.84,235.19,2014
30741,"Corn",40.75,-86.87,217.5,2014
30742,"Corn",40.34,-84.8,200.78,2014
30743,"Soybean",41.14,-89.67,62.42,2014
30745,"Corn",41.77,-86.14,204.7,2014
30756,"Soybean",41.43,-89.34,64.23,2014
30757,"Soybean",41.93,-86.5,55.88,2014
30758,"Corn",40.73,-91.42,242.47,2014
30760,"Corn",39.52,-85.42,210.57,2014
30761,"Corn",39.73,-84.66,223.63,2014
30763,"Corn",40.91,-87.75,201.34,2014
30765,"Corn",41.29,-88.15,222.9,2014
30766,"Corn",40.73,-89.93,254.52,2014
30767,"Corn",40.84,-89.87,208.66,2014
30768,"Corn",40.65,-89.87,192.12,2014
30780,"Soybean",38.15,-87.73,78.78,2014
30783,"Corn",38.06,-87.23,208.72,2014
30787,"Corn",38.06,-87.23,140.37,2014
30789,"Corn",40.99,-89.68,214.12,2014
30790,"Corn",40.92,-89.75,221.37,2014
30791,"Soybean",38.22,-90.33,60,2014
30792,"Corn",40.65,-89.87,222.77,2014
30793,"Corn",40.41,-89.78,247.01,2014
30797,"Corn",37.11,-85.29,190.52,2014
30802,"Soybean",40.65,-83.17,56.16,2014
30803,"Corn",37.85,-88.66,209.58,2014
30804,"Soybean",37.85,-88.66,51.39,2014
30806,"Corn",40.61,-89.78,211.3,2014
30824,"Corn",42.1,-89.98,236.22,2014
30855,"Soybean",38.22,-86.01,59.95,2014
30906,"Corn",41.27,-88.22,214.76,2014
30907,"Corn",40.54,-90.41,251.03,2014
31073,"Corn",41.93,-86.5,134.3,2014
31074,"Soybean",42.13,-85.43,37.04,2014
31086,"Corn",41.35,-87.61,183.87,2014
31136,"Corn",41.82,-85.19,244.29,2014
31137,"Corn",41.37,-88.42,229.83,2014
31305,"Corn",40.19,-85.98,209.74,2014
31309,"Corn",40.72,-82.9,236.38,2014
31314,"Corn",41.37,-84.01,242.88,2014
31316,"Corn",36.67,-87.56,248.72,2014
31319,"Corn",38.46,-90.36,260.54,2014
31322,"Corn",40.72,-82.9,198.12,2014
31323,"Wheat",35.33,-87.45,88.89,2015
31325,"Wheat",35.33,-87,102.87,2015
31327,"Corn",40.66,-83.16,205.4,2014
31330,"Corn",41.77,-86.14,234.7,2014
31336,"Corn",39.89,-88.73,268.7,2014
31349,"Corn",40.8,-90.54,229.43,2014
31351,"Corn",40.84,-88.01,184.18,2014
31353,"Corn",39.23,-85.06,209.07,2014
31354,"Corn",39.33,-85.47,227.38,2014
31355,"Corn",39.55,-85.34,250.2,2014
31356,"Corn",41.27,-90.03,244.79,2014
31359,"Corn",40.44,-85.87,262.3,2014
31364,"Corn",40.18,-87.78,210.56,2014
31366,"Corn",40.3,-86.83,202.3,2014
31384,"Corn",41.91,-92.63,217.69,2015
31389,"Corn",40.45,-91.86,205.64,2015
31391,"Corn",40.87,-88.78,210.71,2015
31395,"Corn",40.83,-91,205.5,2015
31397,"Corn",40.86,-91.33,169.01,2015
31402,"Corn",40.81,-88.91,199.67,2015
31407,"Corn",41.22,-90.38,248.02,2015
31410,"Corn",41.86,-90.44,251.48,2015
31412,"Corn",41.63,-90.25,246.5,2015
31414,"Corn",41.3,-90.61,249.14,2015
31420,"Corn",36.71,-87.25,203.36,2015
31425,"Corn",41.17,-85.48,238.3,2015
31428,"Corn",40.74,-89.14,229,2015
31431,"Corn",37.92,-87.19,195.82,2015
31432,"Corn",41.58,-88.2,158.43,2015
31433,"Corn",36.68,-85.18,234.53,2015
31437,"Corn",38.7,-89.69,175.3,2015
31440,"Corn",36.74,-86.7,216.36,2015
31442,"Corn",40.32,-85.88,229.7,2015
31443,"Corn",41.48,-89.68,218.44,2015
31444,"Corn",41.66,-89.15,223.09,2015
31446,"Corn",39.72,-87.2,223.19,2015
31447,"Corn",39.95,-86.5,191.84,2015
31448,"Corn",41.55,-90.05,244.73,2015
31457,"Corn",40.49,-84.12,186.8,2015
31459,"Soybean",40.47,-89.58,70.83,2015
31463,"Corn",40.59,-90.91,239.51,2015
31466,"Corn",41.36,-90.39,194.9,2015
31474,"Corn",41.01,-91.19,168.38,2015
31478,"Corn",38.86,-87.02,248.74,2015
31480,"Corn",39.31,-87.27,230.16,2015
31481,"Corn",40.76,-91.39,184.48,2015
31483,"Soybean",40.86,-91.33,71.49,2015
31487,"Corn",41.56,-86,203.9,2015
31492,"Soybean",41.56,-86,62.64,2015
31494,"Corn",41.87,-83.87,212.8,2015
31495,"Soybean",40.92,-83.98,1489.85,2015
31496,"Corn",41.25,-84.19,192.3,2015
31497,"Corn",37.35,-86.67,216.58,2015
31504,"Corn",41.52,-91.12,217.06,2015
31507,"Corn",39.96,-86.4,147.48,2015
31508,"Corn",40.83,-89.42,233.16,2015
31509,"Corn",40.84,-88.95,205.14,2015
31511,"Corn",41.04,-91.32,158.68,2015
31512,"Corn",41.44,-90.94,235.08,2015
31513,"Corn",37.12,-85.72,205.3,2015
31514,"Corn",36.5,-88.39,233.76,2015
31515,"Corn",36.36,-88.86,182.17,2015
31518,"Corn",40.31,-87.89,248.7,2015
31521,"Corn",40.01,-88.21,232.14,2015
31525,"Soybean",39.72,-87.21,44.66,2015
31527,"Corn",38.02,-87.12,215.2,2015
31528,"Corn",41.49,-86.76,232.9,2015
31530,"Corn",38.89,-92.71,161.77,2015
31532,"Corn",41.33,-86.13,194.65,2015
31533,"Soybean",41.31,-86.62,60.01,2015
31534,"Soybean",38.46,-87.33,37.66,2015
31538,"Corn",40.5,-86.26,232.83,2015
31545,"Corn",41.03,-87.92,169.5,2015
31547,"Corn",36.83,-88.87,186.32,2015
31548,"Corn",36.58,-88.44,200,2015
31550,"Soybean",40.68,-87.32,64.71,2015
31553,"Corn",41.03,-87.92,164.94,2015
31563,"Corn",39.71,-87.73,224.63,2015
31565,"Corn",36.64,-86.56,242.51,2015
31573,"Soybean",41.63,-90.25,87.03,2015
31574,"Corn",41.7,-90.77,238.88,2015
31575,"Corn",41.59,-89.79,236.52,2015
31577,"Corn",37.55,-86.81,232.3,2015
31580,"Corn",37.42,-87.31,156.09,2015
31583,"Corn",37.67,-86.77,236.22,2015
31584,"Corn",40.22,-84.67,181.46,2015
31585,"Corn",39.67,-84.93,172,2015
31586,"Corn",39.8,-85.02,198.7,2015
31587,"Corn",39.62,-85.07,229.5,2015
31588,"Corn",39.96,-84.91,188.31,2015
31591,"Corn",37.36,-87.23,201.22,2015
31593,"Corn",39.65,-88.01,208.35,2015
31596,"Soybean",37.64,-87.49,63.34,2015
31597,"Corn",42.09,-93,243.27,2015
31603,"Soybean",42.05,-85.29,66.85,2015
31605,"Soybean",39.96,-86.4,55.86,2015
31607,"Corn",38.24,-85.97,205.07,2015
31608,"Soybean",38.74,-86.48,58.66,2015
31609,"Soybean",38.41,-85.95,60.15,2015
31611,"Corn",40.05,-84.84,197.78,2015
31615,"Corn",38.25,-87.63,215.6,2015
31616,"Corn",37.01,-85.75,201.66,2015
31621,"Corn",38.2,-87.58,242,2015
31622,"Corn",36.7,-87.54,214.65,2015
31624,"Soybean",37.04,-88.29,48.96,2015
31625,"Corn",38.13,-87.55,221.46,2015
31627,"Corn",38.2,-87.94,249.7,2015
31629,"Corn",38.15,-87.82,224.28,2015
31630,"Corn",40.34,-84.43,216.5,2015
31632,"Soybean",39.86,-84.65,54.1,2015
31641,"Corn",38.2,-86.1,161.14,2015
31642,"Corn",39.58,-89.32,193.69,2015
31643,"Soybean",37.96,-86.26,2767.33,2015
31644,"Corn",38.16,-87.53,185.1,2015
31646,"Soybean",40.93,-93.17,62.73,2015
31652,"Corn",36.65,-85.96,231.43,2015
31655,"Corn",41.33,-91.97,199.14,2015
31657,"Soybean",36.74,-85.13,69.38,2015
31659,"Soybean",37.22,-85.41,67.42,2015
31660,"Corn",36.82,-86.26,151.8,2015
31668,"Corn",42.13,-85.43,182,2015
31677,"Soybean",41.04,-91.32,54.98,2015
31678,"Corn",39.04,-88.3,209.84,2015
31679,"Corn",38.62,-86.28,192.31,2015
31680,"Corn",38.18,-86,195.05,2015
31682,"Soybean",41.18,-89.68,75.42,2015
31683,"Soybean",41.18,-89.68,77.09,2015
31684,"Corn",41.13,-85.88,178.38,2015
31685,"Soybean",40.81,-89.17,71.06,2015
31689,"Soybean",41.03,-89.61,70.41,2015
31695,"Soybean",37.94,-87.18,58.23,2015
31697,"Soybean",40.01,-88.21,70.37,2015
31701,"Soybean",39.55,-83.8,71.46,2015
31702,"Corn",38.88,-83.7,247.18,2015
31703,"Soybean",38.88,-83.69,70.57,2015
31704,"Soybean",39.67,-83.66,69.56,2015
31706,"Soybean",41.67,-88.73,61.88,2015
31709,"Soybean",38.16,-89.05,60.84,2015
31710,"Corn",39.71,-86.65,189.11,2015
31712,"Corn",39.63,-82.91,198.9,2015
31714,"Soybean",39.55,-83.57,65.55,2015
31716,"Soybean",40.83,-89.42,62.35,2015
31717,"Soybean",40.84,-88.95,72.29,2015
31718,"Soybean",40.81,-88.91,59.37,2015
31720,"Soybean",40.52,-86.27,70.66,2015
31722,"Corn",39.43,-83.56,199.1,2015
31723,"Corn",39.61,-83.56,239.99,2015
31726,"Corn",41.34,-89.93,219.51,2015
31730,"Corn",41.43,-89.34,252.38,2015
31731,"Soybean",38.2,-86.14,62.66,2015
31732,"Soybean",38.22,-86.01,74.89,2015
31733,"Soybean",38.22,-85.12,67.42,2015
31735,"Soybean",41.86,-90.44,72.83,2015
31736,"Soybean",41.86,-90.44,72.76,2015
31740,"Soybean",40.05,-84.84,60.91,2015
31742,"Soybean",40.13,-86.54,58.31,2015
31744,"Soybean",40.19,-86.7,63.37,2015
31745,"Soybean",39.95,-86.5,74.44,2015
31757,"Soybean",39.05,-88.33,60.69,2015
31758,"Corn",40.29,-88.98,190.5,2015
31763,"Soybean",39.38,-91.98,55.58,2015
31764,"Soybean",39.38,-91.98,60.88,2015
31765,"Soybean",39.38,-91.98,62.6,2015
31766,"Corn",41.38,-87.31,164.3,2015
31770,"Soybean",41.38,-87.31,50.74,2015
31772,"Soybean",41.45,-87.08,41.22,2015
31781,"Corn",41.38,-84.68,158.4,2015
31782,"Corn",40.97,-91.53,202.77,2015
31785,"Corn",40.07,-90.03,222.32,2015
31786,"Soybean",40.31,-87.9,55.04,2015
31790,"Corn",41.45,-86.77,216.93,2015
31793,"Soybean",41.32,-86.13,69.2,2015
31797,"Soybean",40.76,-87.86,72.39,2015
31798,"Corn",40.61,-87.32,147.92,2015
31800,"Soybean",40.52,-88.9,75.64,2015
31804,"Soybean",40.11,-88.83,73.06,2015
31806,"Soybean",40.08,-88.97,65.72,2015
31810,"Soybean",40.02,-85.85,75.51,2015
31813,"Corn",39.88,-85.7,217.31,2015
31814,"Corn",39.06,-85.89,240.5,2015
31815,"Corn",39.37,-85.66,183.28,2015
31816,"Corn",39.28,-85.81,156.11,2015
31817,"Corn",38.83,-86.1,161.13,2015
31818,"Corn",39.45,-85.71,123.81,2015
31819,"Corn",38.8,-86.12,171.76,2015
31820,"Corn",38.9,-85.86,179.13,2015
31821,"Corn",38.85,-85.92,238.54,2015
31822,"Corn",40.75,-87.03,222.7,2015
31823,"Soybean",38.9,-85.86,68.49,2015
31824,"Soybean",39.45,-85.7,51.03,2015
31825,"Corn",40.48,-86.81,240.63,2015
31826,"Soybean",39.37,-85.66,70.39,2015
31827,"Soybean",39.28,-85.81,58.18,2015
31828,"Corn",38.19,-86.92,155.01,2015
31829,"Corn",38.61,-87.19,225.2,2015
31834,"Soybean",39.93,-84.53,65.5,2015
31835,"Soybean",36.95,-85.56,69.05,2015
31837,"Corn",40.98,-91.51,222.59,2015
31838,"Soybean",40.98,-91.51,71.66,2015
31839,"Soybean",40.73,-91.42,58.18,2015
31840,"Soybean",41.01,-91.19,54.85,2015
31843,"Soybean",40.97,-91.53,69.28,2015
31845,"Corn",39.17,-88.14,197,2015
31847,"Corn",35.76,-86.93,244.94,2015
31849,"Corn",35.25,-87.09,168.23,2015
31850,"Corn",35.26,-88.27,132.53,2015
31854,"Corn",41.91,-94.52,182.19,2015
31858,"Corn",39.89,-88.66,214.68,2015
31860,"Corn",39.79,-88.32,208.95,2015
31861,"Corn",39.76,-88.28,226.32,2015
31864,"Corn",38.09,-90.68,194.44,2015
31865,"Corn",39.54,-88.32,218.93,2015
31867,"Corn",38.75,-89.65,203.2,2015
31870,"Soybean",39.89,-88.73,67.99,2015
31877,"Corn",41,-85.51,137.31,2015
31880,"Corn",39.24,-88.31,219.64,2015
31881,"Soybean",36.77,-86.32,4520.38,2015
31882,"Corn",39.38,-87.69,136.18,2015
31883,"Soybean",37.48,-85.92,55.43,2015
31885,"Soybean",39.07,-88.65,61.04,2015
31888,"Corn",42.3,-93.8,205.81,2015
31889,"Corn",42.37,-93.44,240.31,2015
31890,"Soybean",40.87,-88.72,67.41,2015
31891,"Soybean",42.26,-94.18,71.46,2015
31892,"Soybean",42.26,-94.18,73.3,2015
31896,"Corn",40.74,-88.55,244.55,2015
31897,"Corn",41.05,-88.95,206.68,2015
31901,"Corn",41.28,-88.93,191.23,2015
31905,"Corn",40.98,-88.42,171.07,2015
31907,"Soybean",38.94,-83.75,53.26,2015
31909,"Soybean",39.09,-89.83,51.74,2015
31910,"Soybean",39.49,-89.37,65.12,2015
