"YieldM","Yieldsd","Id","PLANTED","HARVESTED","POPULATION","PC","ROWWIDTH","Soil","TILLAGE","HERBICIDE","FUNGICIDE","INSECTICIDE","Latitude","Longitude","Family","State","pYear"
212.8,NA,"30149",2014-04-24,2014-09-20,33700," Soybeans",30," Silt Loam"," Chisel / Field Cultivation"," None",NA," None",38.34,-87.58,"Corn","IN",2014
243.1,NA,"30151",2014-04-24,2014-09-27,40000," Soybeans",20," Clay Loam"," Chisel / Field Cultivation"," None",NA," None",40.57,-86.09,"Corn","IN",2014
213.41,15.24,"30152",2014-04-23,2014-11-15,30000," Soybeans",30," Loam"," No-Till"," Bicep II Magnum, Roundup",NA," None",37.19,-84.68,"Corn","KY",2014
250.41,9.99,"30153",2014-04-27,2014-10-01,35000," Soybeans",30," Silt Loam"," Field Cultivation"," None",NA," None",40.52,-88.9,"Corn","IL",2014
235.8,NA,"30154",2014-04-23,2014-10-20,32000," Soybeans",30," Silt Loam"," Field Cultivation / Disc / Disk-Rip"," Degree Xtra, Roundup",NA," None",40.36,-86.81,"Corn","IN",2014
209.82,7.08,"30156",2014-04-26,2014-10-29,30000," Soybeans",30," Silt Loam"," No-Till"," Generic Glyphosate",NA," None",38.45,-87.43,"Corn","IN",2014
242.75,11.41,"30160",2014-04-18,2014-10-08,30000," Corn",30," Silt Loam"," Field Cultivation"," SureStart",NA," None",38.69,-89.68,"Corn","IL",2014
233.62,13.37,"30165",2014-04-21,2014-09-20,32000," Soybeans",30," Sandy Clay Loam"," Disc / Vertical-Till"," Corvus",NA,NA,39.05,-85.88,"Corn","IN",2014
192.62,7.75,"30167",2014-04-11,2014-09-05,32500," Soybeans",30," Loam"," No-Till"," Halex GT, Atrazine",NA," None",36.66,-87.57,"Corn","KY",2014
217.4,NA,"30170",2014-04-30,2014-10-10,34000," Soybeans",30," Silt Loam"," V-Rip / Field Cultivation"," Atrazine, Corvus",NA," None",40.51,-86.26,"Corn","IN",2014
222.2,NA,"30174",2014-04-23,2014-09-25,38000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," 5.6 oz Corvus, 2 Qt Atrazine",NA," 4 oz Permethrin",39.54,-83.57,"Corn","OH",2014
224.96,20.29,"30175",2014-04-24,2014-10-01,32000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," 5.6 oz Corvus, 2 qts Atrazine",NA," None",39.71,-82.89,"Corn","OH",2014
196.77,9.73,"30176",2014-05-24,2014-10-23,29500," Soybeans",30," Silty Clay Loam"," Field Cultivation / Disc"," 3 pt/acre Halex GT",NA," None",38.01,-88.9,"Corn","IL",2014
231.8,NA,"30177",2014-05-04,2014-10-12,32000," Soybeans",30," Clay Loam"," V-Rip / Field Cultivation"," 1qt SureStart",NA," None",39.87,-85.71,"Corn","IN",2014
219,NA,"30178",2014-05-06,2014-11-13,34000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," None",NA," None",40.28,-85.84,"Corn","IN",2014
228.9,NA,"30184",2014-05-05,2014-10-05,31300," Sod",30," Clay Loam"," Field Cultivation"," Generic Glyphosate, Atrazine",NA," None",36.76,-85.76,"Corn","KY",2014
225.79,13.52,"30185",2014-05-02,2014-10-06,34000," Soybeans",30," Clay Loam"," Strip-Till"," Roundup Original",NA," None",40.18,-86.67,"Corn","IN",2014
204.75,7.47,"30186",2014-05-05,2014-10-02,35000," Corn",30," Loamy Sand"," Min.-Till / Vertical-Till"," 48 oz Lumax, Halex GT",NA," Force",41.79,-90.14,"Corn","IL",2014
239.17,15.98,"30191",2014-04-23,2014-10-02,37000," Soybeans",30," Silt Loam"," V-Rip"," Roundup",NA," None",41.3,-90.8,"Corn","IL",2014
221.38,13.93,"30192",2014-05-06,2014-10-17,34000," Soybeans",30," Loam"," No-Till"," Roundup Original Max",NA," Force",41.22,-87.82,"Corn","IL",2014
249.38,9.79,"30193",2014-05-05,2014-10-04,36000," Soybeans",30," Silt Loam"," Field Cultivation / Conv.-Till"," Balance Flexx, Lotus",NA," Force 3G",40.92,-90.71,"Corn","IL",2014
236.12,6.11,"30194",2014-05-06,2014-10-01,33000," Clover",30," Sandy Clay Loam"," Field Cultivation"," Roundup Original",NA,NA,40.86,-90.96,"Corn","IL",2014
222.88,7.41,"30195",2014-05-06,2014-10-29,33000," Corn",30," Sandy Loam"," Field Cultivation"," Roundup",NA," None",40.75,-90.91,"Corn","IL",2014
207.38,12.03,"30196",2014-05-06,2014-10-04,32000," Corn",30," Sandy Clay Loam"," Field Cultivation"," Atrazine",NA,NA,37.44,-87.25,"Corn","KY",2014
223.63,11.63,"30198",2014-05-02,2014-10-01,34000," Soybeans",30," Loam"," Chisel"," Roundup",NA," None",40.74,-86.99,"Corn","IN",2014
248.1,NA,"30199",2014-05-06,2014-10-01,36000," Soybeans",30," Loam"," Strip-Till"," 32 oz Roundup PowerMAX",NA," Force 3G",40.75,-87.03,"Corn","IN",2014
229.6,6.58,"30200",2014-05-08,2014-10-27,33500," Soybeans",30," Clay Loam"," Chisel / Disc"," Halex GT",NA," None",39.73,-85.99,"Corn","IN",2014
226.74,10.58,"30201",2014-05-08,2014-10-14,32000," Soybeans",30," Sandy Loam"," Field Cultivation"," Aatrex 4L, Halex GT",NA," None",39.7,-86.65,"Corn","IN",2014
231.3,10.74,"30202",2014-05-03,2014-09-25,34500," Soybeans",30," Sandy Clay Loam"," Chisel"," Roundup",NA,NA,40.48,-86.73,"Corn","IN",2014
247.42,15.05,"30204",2014-04-24,2014-10-09,34500," Soybeans",30," Silty Clay Loam"," CMhaixsel"," 2.5 QT Keystone, 24 oz Roundup Ultra",NA," None",39.97,-89.72,"Corn","IL",2014
239.22,16.08,"30206",2014-05-07,2014-10-28,35000," Soybeans",30," Clay Loam"," Field Cultivation"," None",NA," None",40.94,-90.37,"Corn","IL",2014
207.17,9.77,"30207",2014-05-05,2014-10-01,35000," Soybeans",30," Loam"," No-Till"," None",NA," None",41.25,-90.35,"Corn","IL",2014
201.73,9.39,"30208",2014-05-07,2014-10-27,30000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Disc"," 2.6 qt/acre Trizmet II",NA," None",38.33,-89.77,"Corn","IL",2014
231.44,7.46,"30210",2014-05-03,2014-11-10,32000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," Harness Xtra",NA," None",40.13,-86.21,"Corn","IN",2014
64.86,3.06,"30212",2014-05-07,2014-10-22,180000," Soybeans",7.5," Clay Loam"," Field Cultivation"," Roundup Original Max",NA," None",40.18,-86,"Soybean","IN",2014
224.1,NA,"30214",2014-05-05,2014-10-17,34000," Soybeans",30," Sandy Loam"," Field Cultivation"," 2 qt  Aatrex 4L, 1.6 qt Cinch Atz",NA," None",41.39,-84.13,"Corn","OH",2014
184.9,NA,"30217",2014-05-08,2014-10-08,32500," Soybeans",30," Silty Clay"," Field Cultivation"," 2 qt. Keystone, 1 qt SureStart",NA," None",40.38,-84.72,"Corn","OH",2014
226,NA,"30218",2014-05-07,2014-10-23,36500," Corn",30," Clay Loam"," Chisel / Field Cultivation"," Roundup",NA," None",40.98,-86.87,"Corn","IN",2014
186.35,10.58,"30219",2014-05-07,2014-10-20,32000," Corn",30," Sandy Loam"," Disc"," Roundup",NA," None",41.22,-87.11,"Corn","IN",2014
207.8,NA,"30220",2014-04-29,2014-11-08,32000," Corn",30," Sandy Loam"," Chisel / Field Cultivation"," Roundup",NA," None",41.18,-87.06,"Corn","IN",2014
207.2,NA,"30221",2014-04-25,2014-10-08,30000," Soybeans",30," Sandy Loam"," Chisel / Field Cultivation"," Roundup",NA," None",40.96,-87.14,"Corn","IN",2014
219.37,26.8,"30222",2014-05-07,2014-09-24,30000," Soybeans",30," Clay Loam"," Min.-Till"," Roundup",NA," None",39.66,-88.04,"Corn","IL",2014
218.51,13.14,"30223",2014-05-07,2014-10-09,31500," Soybeans",30," Clay Loam"," Field Cultivation"," Halex GT",NA," Capture",37.5,-86.59,"Corn","KY",2014
206.99,7.97,"30225",2014-05-06,2014-10-30,30000," Soybeans",30," Loam"," No-Till"," Generic Glyphosate",NA," None",37.02,-85.25,"Corn","KY",2014
218.9,12.9,"30227",2014-04-24,2014-10-18,33500," Soybeans",30," Loam"," Field Cultivation"," 28.0 oz Liberty",NA," None",41.8,-88.63,"Corn","IL",2014
208.24,13.81,"30230",2014-05-07,2014-10-30,34000," Soybeans",30," Loam"," Chisel / Field Cultivation"," 32.0 oz Generic Glyphosate",NA," None",41.86,-88.77,"Corn","IL",2014
208.4,NA,"30231",2014-05-04,2014-09-30,34500," Soybeans",30," Clay Loam"," Field Cultivation / Disk-Rip"," Lumax",NA," None",41,-85.77,"Corn","IN",2014
213.9,NA,"30232",2014-05-04,2014-10-20,33500," Soybeans",30," Clay Loam"," Inline Ripper / Vertical-Till"," Capreno",NA," None",40.83,-85.59,"Corn","IN",2014
237.32,3.58,"30234",2014-05-07,2014-10-06,32000," Corn",30," Clay Loam"," Vertical-Till"," Lexar",NA," None",41.04,-85.43,"Corn","IN",2014
61.99,2.39,"30236",2014-05-07,2014-10-30,180000," Corn",7.5," Clay Loam"," Vertical-Till"," None",NA," None",41.02,-85.43,"Soybean","IN",2014
228.3,NA,"30237",2014-05-07,2014-10-19,32000," Soybeans",30," Sandy Clay Loam"," No-Till"," 2 Qt Volley, 1 Qt Buccaneer, 1 Pt 2,4-D",NA,NA,38.88,-83.72,"Corn","OH",2014
233.6,NA,"30238",2014-05-09,2014-11-13,32800," Soybeans",30," Sandy Clay Loam"," Min.-Till"," 1qt Roundup WeatherMax, 2 qt Lexar",NA,NA,39.27,-84.77,"Corn","OH",2014
174.6,15.55,"30239",2014-05-07,2014-11-10,36000," Corn",30," Sandy Loam"," Disc"," Atrazine, Corvus",NA," Aztec",41.43,-87.07,"Corn","IN",2014
245.67,20.57,"30240",2014-05-09,2014-10-30,31000," Sod",30," Clay Loam"," No-Till"," Simazat 4L, Atrazine, Roundup Original",NA," None",36.7,-85.15,"Corn","KY",2014
62,NA,"30244",2014-05-07,2014-10-27,143000," Corn",20," Clay Loam"," Chisel / Field Cultivation"," Authority XL, Roundup PowerMAX",NA," None",40.57,-86.09,"Soybean","IN",2014
64.37,4.1,"30246",2014-05-12,2014-10-01,150000," Corn",30," Silty Clay Loam"," Chisel"," Roundup",NA," None",40.71,-89.85,"Soybean","IL",2014
70.9,5.93,"30249",2014-05-03,2014-11-01,145000," Corn",30," Silty Clay Loam"," Chisel / Field Cultivation"," 2 pt Prefix, 32 oz Roundup WeatherMax",NA," None",40.15,-88.97,"Soybean","IL",2014
229.75,10.48,"30250",2014-05-08,2014-11-07,32000," Corn",30," Sandy Loam"," Chisel / Disc"," 1.5 pts. Lumax",NA," None",41.83,-83.91,"Corn","MI",2014
70.67,3.52,"30251",2014-05-01,2014-10-24,142000," Corn",30," Silt Loam"," Field Cultivation / Disc / Disk-Rip"," Roundup",NA," None",40.36,-86.81,"Soybean","IN",2014
248.7,NA,"30252",2014-05-02,2014-10-12,36000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 1.75  qt Lumax, 23 oz Roundup",NA," None",40.51,-85.7,"Corn","IN",2014
233,NA,"30254",2014-05-10,2014-10-30,32000," Soybeans",30," Clay Loam"," V-Rip / Field Cultivation"," 5.5 oz Corvus, 1 quart Atrazine",NA," None",40.87,-84.3,"Corn","OH",2014
70.45,3.9,"30255",2014-05-09,2014-10-02,130000," Corn",30," Silt Loam"," Chisel / Field Cultivation"," None",NA," None",40.51,-86.26,"Soybean","IN",2014
234.59,7.28,"30258",2014-05-06,2014-10-23,34500," Soybeans",30," Silty Clay Loam"," Disc"," Dual II Magnum",NA," Poncho 1250",40.79,-89.34,"Corn","IL",2014
64.76,3.1,"30260",2014-05-05,2014-10-20,130000," Corn",30," Silt Loam"," Chisel / Field Cultivation"," 2oz Fierce, 2oz Valor, 4oz Pursuit",NA," None",41.18,-89.65,"Soybean","IL",2014
78.9,3.49,"30261",2014-05-13,2014-10-24,130000," Corn",30," Silty Clay Loam"," Vertical-Till"," Roundup",NA," None",40.89,-89.77,"Soybean","IL",2014
179.7,NA,"30262",2014-05-06,2014-10-25,29500," Soybeans",30," Silt Loam"," Field Cultivation"," Lexar, Roundup WeatherMax",NA," None",38.84,-88.38,"Corn","IL",2014
230.58,8.48,"30265",2014-05-07,2014-10-01,36000," Soybeans",30," Clay Loam"," Field Cultivation / Inline Ripper"," Lexar, Roundup PowerMAX",NA," None",40.84,-88.95,"Corn","IL",2014
214.4,NA,"30267",2014-05-07,2014-10-20,29500," Soybeans",30," Silty Clay Loam"," Field Cultivation / S-Tine"," 3 QT Lexar, 1 PT Aatrex 4L",NA," Warrior",39.16,-88.19,"Corn","IL",2014
195.02,13.12,"30268",2014-05-07,2014-11-06,35000," Corn",30," Loam"," Chisel / Field Cultivation"," Full Rate Roundup",NA," Full Rate Force",40.94,-87.92,"Corn","IL",2014
254.15,7.97,"30269",2014-04-24,2014-09-29,35000," Soybeans",30," Loam"," Chisel / Field Cultivation"," Full Rate Roundup",NA," None",40.28,-87.58,"Corn","IL",2014
223.9,NA,"30270",2014-05-05,2014-10-27,36000," Soybeans",30," Loam"," Chisel / Field Cultivation / Disc"," Roundup",NA," None",40.31,-87.89,"Corn","IL",2014
71.31,3.98,"30271",2014-05-07,2014-11-06,133000," Corn",30," Loam"," Chisel / Field Cultivation"," Full Rate Liberty",NA," None",40.31,-87.89,"Soybean","IL",2014
240.4,NA,"30273",2014-05-06,2014-10-21,33800," Corn",30," Silt Loam"," Chisel / Field Cultivation / Vertical-Till"," Halex GT",NA," None",38.25,-87.53,"Corn","IN",2014
233.88,10.79,"30274",2014-05-06,2014-09-26,34000," Soybeans",30," Loam"," Chisel / Field Cultivation"," Full Rate Roundup",NA," None",39.98,-88.21,"Corn","IL",2014
213.4,NA,"30275",2014-05-07,2014-09-29,33400," Soybeans",30," Silt Loam"," Chisel / Field Cultivation"," None",NA," None",38.13,-87.54,"Corn","IN",2014
217.62,10.57,"30278",2014-05-11,2014-11-03,33500," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," 40 oz. Generic Glyphosate",NA," None",41.26,-88.93,"Corn","IL",2014
210.31,16.2,"30279",2014-05-08,2014-10-07,36000," Oats",20," Silt Loam"," Chisel / Field Cultivation"," 32 oz. Roundup",NA," 5.5 lbs. Force",41.05,-89.05,"Corn","IL",2014
211.17,11.43,"30281",2014-05-10,2014-11-03,31800," Soybeans",30," Clay Loam"," Chisel / Field Cultivation / Disk-Rip"," Corvus, Aatrex",NA," None",39.03,-88.85,"Corn","IL",2014
249.54,11.67,"30283",2014-05-06,2014-10-06,32500," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 32 oz. Roundup WeatherMax",NA," 6.7 lbs. Aztec",41.21,-88.61,"Corn","IL",2014
241.69,9.87,"30284",2014-05-06,2014-10-07,34000," Soybeans",30," Sandy Clay Loam"," Chisel / Field Cultivation"," 32 oz. Roundup WeatherMax",NA,NA,40.88,-88.61,"Corn","IL",2014
259.67,10.74,"30285",2014-05-05,2014-09-27,32000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," 3.5 qt Lexar",NA," 4.4 lbs/A Force 3G",40.84,-88.39,"Corn","IL",2014
64.19,3.4,"30292",2014-05-12,2014-11-05,151000," Corn",30," Clay"," No-Till"," Valor",NA," None",40.47,-89.58,"Soybean","IL",2014
206.82,16.32,"30293",2014-05-06,2014-10-06,34000," Soybeans",30," Silty Clay Loam"," Chisel / Field Cultivation"," 64 oz. Lexar, 30  oz. Touchdown",NA," 4.4 lbs. Force 3G",40.91,-88.69,"Corn","IL",2014
220.43,11.5,"30294",2014-05-07,2014-09-30,35000," Soybeans",30," Sandy Clay Loam"," No-Till / Min.-Till"," None",NA,NA,39.63,-85.69,"Corn","IN",2014
239.27,12.07,"30298",2014-05-08,2014-10-17,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," None",NA," None",41.43,-89.34,"Corn","IL",2014
195.41,13.18,"30299",2014-05-09,2014-10-27,34000," Corn",30," Silty Clay Loam"," Disc"," None",NA," None",41.35,-89.74,"Corn","IL",2014
216.61,14.42,"30300",2014-05-07,2014-10-24,33400," Soybeans",30," Silty Clay Loam"," Field Cultivation"," 40 oz. Generic Glyphosate",NA," None",40.77,-88.42,"Corn","IL",2014
211.31,9.77,"30301",2014-05-07,2014-10-09,34000," Corn",30," Silty Clay Loam"," Field Cultivation / Disc"," None",NA," None",41.05,-89.05,"Corn","IL",2014
206.37,15.29,"30305",2014-05-10,2014-11-04,35000," Soybeans",30," Silty Clay Loam"," No-Till"," Roundup",NA," None",41.34,-90.85,"Corn","IL",2014
238.2,NA,"30307",2014-05-07,2014-11-14,40000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," Full Rate Lexar",NA," None",40.52,-86.95,"Corn","IN",2014
235.2,NA,"30308",2014-05-06,2014-10-07,34000," Corn",30," Sandy Clay Loam"," Chisel / Field Cultivation"," 3 pts. Halex GT, 1.75 lbs Atrazine",NA,NA,41,-87.96,"Corn","IL",2014
232.43,14.65,"30309",2014-05-06,2014-05-06,34000," Corn",30," Sandy Clay Loam"," Chisel / Field Cultivation"," Roundup",NA,NA,41,-87.96,"Corn","IL",2014
232.8,NA,"30311",2014-05-10,2014-10-06,33000," Soybeans",30," Clay Loam"," Chisel / Field Cultivation"," 1.5 qt. Keystone, 1 qt. SureStart",NA," None",40.53,-84.11,"Corn","OH",2014
71.84,3.45,"30312",2014-05-06,2014-09-30,140000," Corn",30," Sandy Clay Loam"," No-Till"," 1qt Roundup Original Max",NA,NA,39.63,-85.69,"Soybean","IN",2014
219.8,6.75,"30313",2014-05-10,2014-11-04,33000," Soybeans",30," Silt Loam"," Field Cultivation"," Roundup",NA," None",40.76,-90.63,"Corn","IL",2014
242.8,NA,"30314",2014-05-12,2014-10-18,34300," Soybeans",30," Silt Loam"," Vertical-Till"," Lexar, Generic Glyphosate",NA," None",38.15,-87.73,"Corn","IN",2014
54.21,4.4,"30316",2014-05-05,2014-09-26,180000," Corn",7.5," Clay Loam"," No-Till"," Roundup, Canopy",NA," None",37.71,-87.34,"Soybean","KY",2014
190.2,NA,"30318",2014-04-22,2014-09-29,32000," Soybeans",30," Sandy Clay Loam"," V-Rip / Field Cultivation"," Atrazine, Halex GT",NA,NA,38.51,-87.55,"Corn","IN",2014
62.69,5.02,"30321",2014-05-10,2014-10-01,170000," Corn",30," Sandy Loam"," Chisel / Field Cultivation"," 1 quart Roundup Original",NA," None",42.05,-85.29,"Soybean","MI",2014
216.47,10.19,"30324",2014-05-08,2014-10-29,32000," Soybeans",30," Clay Loam"," No-Till"," Roundup PowerMAX",NA," None",39.28,-85.81,"Corn","IN",2014
59.97,3.09,"30325",2014-05-09,2014-11-03,165000," Corn",7.5," Clay Loam"," No-Till"," Roundup, Liberty",NA," None",39.45,-85.7,"Soybean","IN",2014
176.9,NA,"30326",2014-05-06,2014-10-10,30000," Corn",30," Sandy Clay Loam"," Disc"," 1 QT Roundup PowerMAX, 1.5 QT Lexar",NA,NA,38.9,-85.86,"Corn","IN",2014
74.06,2.9,"30327",2014-05-07,2014-10-22,160000," Corn",15," Sandy Clay Loam"," Disc"," 1 QT Roundup PowerMAX",NA,NA,38.9,-85.86,"Soybean","IN",2014
279,NA,"30328",2014-10-21,2014-05-17,30000," Corn",30," Silty Clay Loam"," No-Till"," 2.5 QT Keystone, 3 OZ Hornet",NA," None",39.45,-85.7,"Corn","IN",2014
57.66,5.46,"30330",2014-05-07,2014-09-25,174000," Corn",15," Clay Loam"," No-Till"," None",NA," None",39.33,-85.34,"Soybean","IN",2014
271.17,8.77,"30332",2014-05-07,2014-10-21,32000," Soybeans",30," Clay Loam"," Field Cultivation / Disc"," None",NA," None",39.41,-85.48,"Corn","IN",2014
245.02,9.9,"30333",2014-05-06,2014-10-17,30000," Soybeans",30," Clay Loam"," Vertical-Till"," None",NA," None",39.36,-85.17,"Corn","IN",2014
258.18,5.47,"30334",2014-05-07,2014-10-21,32000," Soybeans",30," Clay Loam"," No-Till"," None",NA," None",39.33,-85.47,"Corn","IN",2014
189.67,11.97,"30335",2014-05-10,2014-10-29,32000," Corn",30," Sandy Clay Loam"," Conv.-Till"," Lumax",NA,NA,41.33,-86.63,"Corn","In",2014
173.94,15.56,"30336",2014-05-05,2014-10-28,32000," Soybeans",30," Sandy Clay Loam"," Conv.-Till"," Lumax",NA,NA,41.33,-86.63,"Corn","IN",2014
