"YieldM","Yieldsd","Id","PLANTED","HARVESTED","POPULATION","PC","ROWWIDTH","Soil","TILLAGE","HERBICIDE","FUNGICIDE","INSECTICIDE","Latitude","Longitude","Family","State","pYear"
266.23,8.72,"43853",2016-04-25,2016-10-10,35500," Corn",30," Loam"," Chisel / V-Rip"," Break Free, Resolve"," 6 oz. Headline AMP",NA,42.8265685041643,-92.1220779418945,"Corn"," IA",2016
266.23,5.43,"43284",2016-04-26,2016-09-23,34000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Lexar, Roundup"," Azoxyprop Xtra",NA,41.1799731158404,-89.6772629934959,"Corn"," IL",2016
256.08,7.24,"43960",2016-04-15,2016-10-01,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation / Disk-Rip"," Bicep II Magnum, Halex GT"," Trivapro",NA,38.2510552930201,-87.4971771240234,"Corn"," IN",2016
236.77,17.35,"68164",2017-05-05,2017-11-06,33000," Soybeans",30," Silty Clay Loam"," No-Till"," 1.25qt Acuron®, 32oz. Buccaneer"," Trivapro",NA,41.518410605719,-95.1225471496582,"Corn"," IA",2017
263.17,7.65,"71425",2017-04-25,2017-11-01,36000,NA,NA," Clay Loam",NA," 32 oz Dual, 3.2 oz Callisto, 32 oz",NA,NA,41.189699871253,-91.2846279144287,"Corn"," IA",2017
240.31,6.36,"68032",2017-04-22,2017-10-01,34000," Soybeans",30," Silty Clay Loam"," Conv.-Till"," Roundup"," Headline AMP",NA,42.2639314206577,-94.1822504997253,"Corn"," IA",2017
297,4.93,"79457",2018-05-04,2018-10-12,33900," Soybeans",30," Clay Loam"," Field Cultivation"," 3 qt/a Acuron®"," 10 oz Trivapro",NA,39.0145155943297,-88.2160305976868,"Corn"," IL",2018
266.08,14.18,"80866",2018-04-24,2018-10-24,35000," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Roundup"," Headline",NA,42.3858737110155,-92.9392719268799,"Corn"," IA",2018
218.08,8.33,"79771",2018-05-29,2018-11-08,34500," Corn",30," Clay Loam"," Field Cultivation"," Callisto®, Dual II Magnum®, Roundup"," Headline AMP",NA,42.4586739084407,-91.9125652313232,"Corn"," IA",2018
272.92,8.82,"79727",2018-05-04,2018-11-01,34000," Corn",30," Clay Loam"," Chisel / Field Cultivation"," Atrazine, Laudis®, Atrazine, Laudis®"," Delaro",NA,39.8793786742257,-86.4179420471191,"Corn"," IN",2018
275.23,9.4,"79291",2018-04-26,2018-09-27,36500," Corn",30," Loam"," V-Rip / Field Cultivation"," Balance Flexx"," Delaro",NA,41.9728281741585,-89.9094486236572,"Corn"," IL",2018
234.08,5.66,"80341",2018-05-10,2018-09-28,33000,NA,NA," Clay Loam",NA," 3.5 qts Degree Xtra, 44 oz. Cornerstone,",NA,NA,38.7594953636889,-89.6272446148646,"Corn"," IL",2018
258.17,15.32,"80815",2018-05-01,2018-10-26,34500," Soybeans",30," Silty Clay Loam"," Field Cultivation"," Roundup"," Headline AMP",NA,42.8791693689193,-95.9335044653295,"Corn"," IA",2018
254.69,11.45,"79332",2018-04-24,2018-09-12,35000," Soybeans",30," Silt Loam"," Field Cultivation"," Roundup"," Headline",NA,40.5270964702893,-90.5069929348941,"Corn"," IL",2018
271.31,8.64,"79512",2018-04-26,2018-09-13,34000," Soybeans",30," Sandy Loam"," Conv.-Till"," 1.5 qt Bicep II Magnum, 1.5 qt Acuron®"," 13 oz Trivapro",NA,38.6930131928349,-87.5510787963867,"Corn"," IL",2018
283.92,13.38,"94395",2019-04-23,2019-10-15,34000," Corn",30," Silt Loam"," Conv.-Till"," Halex® GT"," Trivapro",NA,42.4808105338659,-90.0090359687565,"Corn"," IL",2019
262.23,5.34,"94504",2019-04-28,2019-10-01,34000,NA,NA," Sandy Loam",NA," Bicep II Magnum, Roundup",NA,NA,40.1093419075039,-90.1591622829437,"Corn"," IL",2019
